fecha,t,h3_id,active
2012-03-10,75,892a100898bffff,1
2012-03-10,75,892a10089a3ffff,1
2012-03-10,75,892a1008bbbffff,1
2012-03-10,75,892a100d68bffff,1
2012-03-10,76,892a1008913ffff,1
2012-03-10,76,892a100d2cbffff,1
2012-03-10,78,892a10725afffff,1
2012-03-10,79,892a100d623ffff,1
2012-03-10,81,892a100899bffff,1
2012-03-10,83,892a100d2dbffff,1
2012-03-10,84,892a100d22fffff,1
2012-03-10,84,892a1072c3bffff,1
2012-03-10,88,892a1072cdbffff,1
2012-03-10,89,892a100d633ffff,1
2012-03-10,90,892a100d267ffff,1
2012-03-10,91,892a100d28fffff,1
2012-03-10,92,892a100d343ffff,1
2012-03-10,93,892a100d6abffff,1
2012-03-10,94,892a100d45bffff,1
2012-03-10,96,892a10088b3ffff,1
2012-03-10,96,892a1072c33ffff,1
2012-03-10,97,892a1072cbbffff,1
2012-03-10,97,892a1072cd7ffff,1
2012-03-10,99,892a1072c2bffff,1
2012-03-10,99,892a1072cabffff,1
2012-03-10,100,892a100894bffff,1
2012-03-10,100,892a100d45bffff,1
2012-03-10,101,892a1008b67ffff,1
2012-03-10,104,892a100d607ffff,1
2012-03-10,105,892a100d297ffff,1
2012-03-10,105,892a100d2c3ffff,1
2012-03-10,106,892a100d247ffff,1
2012-03-10,107,892a100d6cfffff,1
2012-03-10,109,892a1008b37ffff,1
2012-03-10,109,892a100d263ffff,1
2012-03-10,109,892a100d2b3ffff,1
2012-03-10,109,892a100d617ffff,1
2012-03-10,109,892a100d687ffff,1
2012-03-10,110,892a100d68bffff,1
2012-03-10,110,892a1072ca7ffff,1
2012-03-10,111,892a1008817ffff,1
2012-03-10,112,892a10088abffff,1
2012-03-10,112,892a100d297ffff,1
2012-03-10,113,892a10721b3ffff,1
2012-03-10,114,892a1072cabffff,1
2012-03-10,116,892a100d613ffff,1
2012-03-10,120,892a100d6afffff,1
2012-03-10,121,892a1072537ffff,1
2012-03-10,122,892a100d22fffff,1
2012-03-10,122,892a100d293ffff,1
2012-03-10,122,892a100d2cbffff,1
2012-03-10,125,892a100d6cbffff,1
2012-03-10,128,892a100d37bffff,1
2012-03-10,128,892a1072c67ffff,1
2012-03-10,129,892a10725b7ffff,1
2012-03-10,135,892a100d2bbffff,1
2012-03-10,137,892a1008903ffff,1
2012-03-10,142,892a1072c57ffff,1
2012-03-10,144,892a100d203ffff,1
2012-03-17,1,892a100d217ffff,1
2012-03-17,1,892a1072c87ffff,1
2012-03-17,2,892a100d203ffff,1
2012-03-17,2,892a100d62bffff,1
2012-03-17,6,892a1072c97ffff,1
2012-03-17,7,892a10089bbffff,1
2012-03-17,7,892a100d22fffff,1
2012-03-17,7,892a10728bbffff,1
2012-03-17,8,892a100d2d7ffff,1
2012-03-17,8,892a100d66bffff,1
2012-03-17,8,892a10721b3ffff,1
2012-03-17,9,892a1072c97ffff,1
2012-03-17,18,892a1072cb7ffff,1
2012-03-17,20,892a100d207ffff,1
2012-03-17,21,892a1008c07ffff,1
2012-03-17,22,892a100d2c7ffff,1
2012-03-17,23,892a10089bbffff,1
2012-03-17,35,892a10721b3ffff,1
2012-03-17,48,892a100d04bffff,1
2012-03-17,49,892a1072cdbffff,1
2012-03-17,52,892a107288fffff,1
2012-03-17,53,892a100d2b3ffff,1
2012-03-17,55,892a100d353ffff,1
2012-03-17,59,892a10725b7ffff,1
2012-03-17,60,892a100d207ffff,1
2012-03-17,63,892a100d227ffff,1
2012-03-17,66,892a100d2d3ffff,1
2012-03-17,68,892a1008d13ffff,1
2012-03-17,68,892a10725bbffff,1
2012-03-17,69,892a100d28fffff,1
2012-03-17,69,892a100d2c3ffff,1
2012-03-17,71,892a1072887ffff,1
2012-03-17,74,892a1008d4bffff,1
2012-03-17,77,892a10089afffff,1
2012-03-17,77,892a1072583ffff,1
2012-03-17,80,892a100d663ffff,1
2012-03-17,80,892a10725afffff,1
2012-03-17,83,892a10089a3ffff,1
2012-03-17,88,892a1008c2bffff,1
2012-03-17,88,892a100d20bffff,1
2012-03-17,89,892a100d05bffff,1
2012-03-17,90,892a10089a3ffff,1
2012-03-17,90,892a100d6abffff,1
2012-03-17,91,892a10088abffff,1
2012-03-17,92,892a1008c27ffff,1
2012-03-17,92,892a1072193ffff,1
2012-03-17,95,892a100d633ffff,1
2012-03-17,95,892a10721b7ffff,1
2012-03-17,96,892a100d223ffff,1
2012-03-17,99,892a100d2bbffff,1
2012-03-17,99,892a1072c8fffff,1
2012-03-17,102,892a100d677ffff,1
2012-03-17,102,892a100d68bffff,1
2012-03-17,104,892a100d2cbffff,1
2012-03-17,111,892a100d68fffff,1
2012-03-17,112,892a100d277ffff,1
