fecha,t,z1,z2,z3,z4,z5,z6
2009-01-17,110,-0.022575194,-0.01797863,0.008333157,-0.004999953,0.012780343,-0.029467028
2009-01-17,113,-0.018613638,0.0022672904,-0.0072979196,-0.026690586,-0.003922242,0.0013849393
2009-01-17,116,-0.030944405,-0.015756441,-0.052426822,-0.09708491,0.021270745,-0.18997425
2009-01-17,117,-0.033302546,-0.003765349,-0.0002131334,-0.027922884,0.023982529,-0.03761697
2009-01-17,118,-0.018126488,-0.0040391344,-0.006373741,-0.015656404,0.008700835,-0.01023269
2009-01-17,119,-0.0174467,0.008385883,-0.0035625019,-0.0072353063,-0.0022981204,-0.018853411
2009-01-17,121,-0.029204948,-0.0619246,-0.02977857,-0.09281648,-0.09084571,-0.06906697
2009-01-17,122,-0.016221296,-0.005871948,-0.0023372883,-0.007839023,0.0031842568,-0.006220178
2009-01-17,123,-0.017474055,-0.01037268,-0.004205233,-0.013832164,0.008167339,-0.0068153515
2009-01-17,124,-0.025956588,-0.010307456,-0.0013332418,-0.013558778,0.00019640193,0.0057042856
2009-01-17,125,-0.011431745,-0.009692044,-0.0032541342,-0.015154954,0.0067191543,-0.013741301
2009-01-17,126,-0.018398015,-0.004812216,0.0003295231,-0.012045264,0.003995051,-0.012704122
2009-01-17,127,-0.029795045,-0.025786076,-0.021677582,-0.0056918566,0.19806717,0.16310307
2009-01-17,128,-0.03235166,-0.14691816,-0.51322556,0.8416104,-0.07366525,0.019006096
2009-01-17,129,-0.020552244,0.009306291,-0.0045437706,-0.008551779,-0.01744902,-0.0025027965
2009-01-17,130,-0.022575194,-0.01797863,0.008333157,-0.004999953,0.012780343,-0.029467028
2009-01-17,131,-0.018937998,-0.004551265,0.009733513,0.0038240717,0.0033449696,-0.015277676
2009-01-17,132,-0.019565491,-0.009218583,-0.0023708644,-0.012491184,0.00748486,-0.004733596
2009-01-17,134,-0.030871581,-0.00044514073,-0.0285277,0.00902313,-0.02481262,0.02517233
